City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadibu,12.65,54.0333,26.72,81,75,1.88,YE,1696980046
1,usinsk,65.9939,57.5281,2.26,76,100,10.73,RU,1696979979
2,yellowknife,62.456,-114.3525,14.67,76,75,3.09,CA,1696980545
3,san antonio de pale,-1.4014,5.6325,25.65,84,96,5.67,GQ,1696980007
4,pallasovka,50.05,46.8833,7.07,57,100,4.89,RU,1696980546
5,teshi old town,5.5836,-0.1072,27.31,89,20,4.63,GH,1696980546
6,sitka,57.0531,-135.33,11.94,76,20,1.54,US,1696980546
7,glace bay,46.1969,-59.957,11.65,96,40,3.09,CA,1696980438
8,grytviken,-54.2811,-36.5092,0.98,99,100,3.6,GS,1696980546
9,pisco,-13.7,-76.2167,20.03,77,0,8.75,PE,1696980547
10,khabarovsk,48.4808,135.0928,5.89,53,0,4.02,RU,1696980547
11,badger,64.8,-147.5333,-0.57,87,100,4.12,US,1696980547
12,tazovsky,67.4667,78.7,3.01,97,100,9.62,RU,1696980547
13,longyearbyen,78.2186,15.6401,-9.09,79,20,5.14,SJ,1696979952
14,avarua,-21.2078,-159.775,25.03,65,40,4.12,CK,1696980547
15,egilsstadir,65.2653,-14.3948,4.95,81,100,2.06,IS,1696980548
16,albany,42.6001,-73.9662,12.36,75,100,1.36,US,1696980548
17,edinburgh of the seven seas,-37.0676,-12.3116,13.83,94,100,5.68,SH,1696980322
18,port-aux-francais,-49.35,70.2167,1.09,67,99,16.13,TF,1696979949
19,muynoq,43.7683,59.0214,10.35,41,94,0.74,UZ,1696980127
20,fort bragg,35.139,-79.006,24.34,47,0,3.6,US,1696980033
21,pandan,14.0453,124.1694,27.38,87,95,2.56,PH,1696980549
22,mount pearl,47.5166,-52.7813,11.09,98,100,5.14,CA,1696979989
23,waitangi,-43.9535,-176.5597,10.46,68,81,3.58,NZ,1696979958
24,bredasdorp,-34.5322,20.0403,15.29,82,64,4.55,ZA,1696979954
25,west island,-12.1568,96.8225,24.99,78,100,6.69,CC,1696979962
26,adamstown,-25.066,-130.1015,20.35,66,97,5.98,PN,1696979950
27,port lincoln,-34.7333,135.8667,22.77,37,3,7.49,AU,1696980000
28,uturoa,-16.7333,-151.4333,26.43,80,62,4.67,PF,1696979994
29,kachia,9.8667,7.95,21.98,79,75,1.37,NG,1696980550
30,cam ranh,11.9214,109.1591,25.98,94,20,1.54,VN,1696980038
31,areia branca,-4.9561,-37.1369,26.51,74,24,9.67,BR,1696980550
32,sovetskaya gavan',48.9723,140.2878,8.39,56,0,2.38,RU,1696980012
33,wailua homesteads,22.0669,-159.378,28.24,76,40,6.17,US,1696979958
34,taksimo,56.3444,114.8794,8.73,68,79,0.89,RU,1696980551
35,riobamba,-1.6667,-78.6333,12.68,90,89,2.16,EC,1696980551
36,bilibino,68.0546,166.4372,-13.36,93,86,1.33,RU,1696979956
37,savelugu,9.6244,-0.8253,26.27,80,56,2.47,GH,1696980551
38,papatowai,-46.5619,169.4708,10.68,47,83,6.68,NZ,1696979958
39,san luis,-33.295,-66.3356,20.01,22,0,8.25,AR,1696980130
40,galle,6.0367,80.217,25.6,87,100,0.94,LK,1696980141
41,ancud,-41.8697,-73.8203,7.98,61,82,4.77,CL,1696980028
42,georgetown,5.4112,100.3354,26.68,96,40,2.06,MY,1696979960
